P LHS RHS
0.0005 [-NONE-] '*-19'
0.0005 [-NONE-] '*-67'
0.0005 [-NONE-] '*T*-77'
0.0005 [-NONE-] '*T*-49'
0.0005 [-NONE-] '*T*-50'
0.0005 [-NONE-] '*-44'
0.0005 [-NONE-] '*T*-62'
0.0005 [-NONE-] '*-15'
0.0005 [-NONE-] '*T*-73'
0.0005 [-NONE-] '*T*-23'
0.0005 [-NONE-] '*T*-75'
0.0005 [-NONE-] '*T*-17'
0.0005 [-NONE-] '*T*-44'
0.0005 [-NONE-] '*T*-59'
0.0005 [-NONE-] '*T*-34'
0.0005 [-NONE-] '*-57'
0.0005 [-NONE-] '*T*-79'
0.0005 [-NONE-] '*T*-26'
0.0005 [-NONE-] '*T*-46'
0.0005 [-NONE-] '*-11'
0.0005 [-NONE-] '*-35'
0.0005 [-NONE-] '*-47'
0.0005 [-NONE-] '*-8'
0.0005 [-NONE-] '*-85'
0.0005 [-NONE-] '*-78'
0.0005 [-NONE-] '*-55'
0.0005 [-NONE-] '*T*-67'
0.0005 [-NONE-] '*T*-47'
0.0005 [-NONE-] '*T*-33'
0.0005 [-NONE-] '*-28'
0.0005 [-NONE-] '*T*-39'
0.0005 [-NONE-] '*T*-27'
0.0005 [-NONE-] '*-26'
0.0005 [-NONE-] '*T*-69'
0.0005 [-NONE-] '*T*-16'
0.0005 [-NONE-] '*T*-81'
0.0005 [-NONE-] '*-87'
0.0005 [-NONE-] '*T*-60'
0.0005 [-NONE-] '*T*-63'
0.0005 [-NONE-] '*-163'
0.0005 [-NONE-] '*T*-36'
0.0005 [-NONE-] '*-41'
0.0005 [-NONE-] '*T*-31'
0.0005 [-NONE-] '*-16'
0.0005 [-NONE-] '*-60'
0.0005 [-NONE-] '*T*-22'
0.0005 [-NONE-] '*-50'
0.0005 [-NONE-] '*-71'
0.0005 [-NONE-] '*-20'
0.0005 [-NONE-] '*-70'
0.0005 [-NONE-] '*T*-56'
0.0005 [-NONE-] '*T*-66'
0.0005 [-NONE-] '*-24'
0.0005 [-NONE-] '*T*-24'
0.0005 [-NONE-] '*-72'
0.0005 [-NONE-] '*T*-7'
0.0005 [-NONE-] '*-38'
0.0005 [-NONE-] '*-102'
0.0005 [-NONE-] '*-17'
0.0005 [-NONE-] '*-53'
0.0005 [-NONE-] '*T*-13'
0.0005 [-NONE-] '*-12'
0.0005 [-NONE-] '*-21'
0.0005 [-NONE-] '*T*-21'
0.0005 [-NONE-] '*-46'
0.0005 [-NONE-] '*-76'
0.0005 [-NONE-] '*-49'
0.0005 [-NONE-] '*T*-9'
0.0005 [-NONE-] '*-84'
0.0005 [-NONE-] '*T*-14'
0.0005 [-NONE-] '*T*-25'
0.0004 [-NONE-] '*T*-102'
0.0004 [-NONE-] '*T*-160'
0.0004 [-NONE-] '*T*-135'
0.0004 [-NONE-] '*-146'
0.0004 [-NONE-] '*-108'
0.0004 [-NONE-] '*T*-125'
0.0004 [-NONE-] '*T*-159'
0.0004 [-NONE-] '*-75'
0.0004 [-NONE-] '*-106'
0.0004 [-NONE-] '*-112'
0.0004 [-NONE-] '*T*-172'
0.0004 [-NONE-] '*T*-257'
0.0004 [-NONE-] '*T*-115'
0.0004 [-NONE-] '*-119'
0.0004 [-NONE-] '*T*-175'
0.0004 [-NONE-] '*T*-84'
0.0004 [-NONE-] '*T*-153'
0.0004 [-NONE-] '*T*-251'
0.0004 [-NONE-] '*-116'
0.0004 [-NONE-] '*-135'
0.0004 [-NONE-] '*T*-219'
0.0004 [-NONE-] '*T*-253'
0.0004 [-NONE-] '*T*-206'
0.0004 [-NONE-] '*T*-101'
0.0004 [-NONE-] '*T*-193'
0.0004 [-NONE-] '*T*-169'
0.0004 [-NONE-] '*T*-225'
0.0004 [-NONE-] '*T*-90'
0.0004 [-NONE-] '*T*-116'
0.0004 [-NONE-] '*-132'
0.0004 [-NONE-] '*T*-110'
0.0004 [-NONE-] '*T*-176'
0.0004 [-NONE-] '*T*-163'
0.0004 [-NONE-] '*-66'
0.0004 [-NONE-] '*T*-243'
0.0004 [-NONE-] '*T*-128'
0.0004 [-NONE-] '*T*-173'
0.0004 [-NONE-] '*-89'
0.0004 [-NONE-] '*T*-120'
0.0004 [-NONE-] '*T*-142'
0.0004 [-NONE-] '*-107'
0.0004 [-NONE-] '*T*-134'
0.0004 [-NONE-] '*-159'
0.0004 [-NONE-] '*T*-170'
0.0004 [-NONE-] '*-160'
0.0004 [-NONE-] '*T*-105'
0.0004 [-NONE-] '*T*-232'
0.0004 [-NONE-] '*T*-133'
0.0004 [-NONE-] '*T*-228'
0.0004 [-NONE-] '*T*-187'
0.0004 [-NONE-] '*NOT*'
0.0004 [-NONE-] '*T*-100'
0.0004 [-NONE-] '*T*-195'
0.0004 [-NONE-] '*-122'
0.0004 [-NONE-] '*T*-241'
0.0004 [-NONE-] '*T*-204'
0.0004 [-NONE-] '*T*-246'
0.0004 [-NONE-] '*-158'
0.0004 [-NONE-] '*T*-165'
0.0004 [-NONE-] '*T*-191'
0.0004 [-NONE-] '*-103'
0.0004 [-NONE-] '*PPA*-2'
0.0004 [-NONE-] '*T*-112'
0.0004 [-NONE-] '*T*-242'
0.0004 [-NONE-] '*T*-200'
0.0004 [-NONE-] '*T*-196'
0.0004 [-NONE-] '*T*-106'
0.0004 [-NONE-] '*-110'
0.0004 [-NONE-] '*-156'
0.0004 [-NONE-] '*T*-229'
0.0004 [-NONE-] '*-152'
0.0004 [-NONE-] '*PPA*-3'
0.0004 [-NONE-] '*-100'
0.0004 [-NONE-] '*T*-136'
0.0004 [-NONE-] '*T*-217'
0.0004 [-NONE-] '*-77'
0.0004 [-NONE-] '*T*-252'
0.0004 [-NONE-] '*T*-111'
0.0004 [-NONE-] '*T*-130'
0.0004 [-NONE-] '*-117'
0.0004 [-NONE-] '*T*-256'
0.0004 [-NONE-] '*-95'
0.0004 [-NONE-] '*-99'
0.0004 [-NONE-] '*-86'
0.0004 [-NONE-] '*T*-220'
0.0004 [-NONE-] '*T*-118'
0.0004 [-NONE-] '*T*-124'
0.0004 [-NONE-] '*T*-143'
0.0004 [-NONE-] '*T*-151'
0.0004 [-NONE-] '*T*-210'
0.0004 [-NONE-] '*T*-162'
0.0004 [-NONE-] '*T*-161'
0.0004 [-NONE-] '*-90'
0.0004 [-NONE-] '*T*-199'
0.0004 [-NONE-] '*T*-157'
0.0004 [-NONE-] '*T*-167'
0.0004 [-NONE-] '*-97'
0.0004 [-NONE-] '*-125'
0.0004 [-NONE-] '*-124'
0.0004 [-NONE-] '*T*-91'
0.0004 [-NONE-] '*T*-183'
0.0004 [-NONE-] '*T*-103'
0.0004 [-NONE-] '*T*-92'
0.0004 [-NONE-] '*T*-152'
0.0004 [-NONE-] '*T*-202'
0.0004 [-NONE-] '*T*-235'
0.0004 [-NONE-] '*T*-122'
0.0004 [-NONE-] '*T*-197'
0.0004 [-NONE-] '*T*-212'
0.0004 [-NONE-] '*T*-97'
0.0004 [-NONE-] '*-91'
0.0004 [-NONE-] '*T*-203'
0.0004 [-NONE-] '*T*-234'
0.0004 [-NONE-] '*T*-231'
0.0004 [-NONE-] '*T*-186'
0.0004 [-NONE-] '*T*-171'
0.0004 [-NONE-] '*T*-140'
0.0004 [-NONE-] '*T*-236'
0.0004 [-NONE-] '*T*-126'
0.0004 [-NONE-] '*T*-227'
0.0004 [-NONE-] '*-113'
0.0004 [-NONE-] '*-166'
0.0004 [-NONE-] '*T*-150'
0.0004 [-NONE-] '*-82'
0.0004 [-NONE-] '*-93'
0.0004 [-NONE-] '*-137'
0.0004 [-NONE-] '*-144'
0.0004 [-NONE-] '*T*-248'
0.0004 [-NONE-] '*T*-109'
0.0004 [-NONE-] '*T*-145'
0.0004 [-NONE-] '*T*-238'
0.0004 [-NONE-] '*T*-180'
0.0004 [-NONE-] '*-104'
0.0004 [-NONE-] '*T*-113'
0.0004 [-NONE-] '*-88'
0.0004 [-NONE-] '*-133'
0.0004 [-NONE-] '*T*-95'
0.0004 [-NONE-] '*T*-87'
0.0004 [-NONE-] '*T*-119'
0.0004 [-NONE-] '*T*-85'
0.0004 [-NONE-] '*T*-230'
0.0004 [-NONE-] '*-118'
0.0004 [-NONE-] '*T*-98'
0.0004 [-NONE-] '*-94'
0.0004 [-NONE-] '*T*-99'
0.0004 [-NONE-] '*T*-156'
0.0004 [-NONE-] '*T*-107'
0.0004 [-NONE-] '*T*-86'
0.0004 [-NONE-] '*T*-149'
0.0004 [-NONE-] '*-96'
0.0004 [-NONE-] '*T*-94'
0.0004 [-NONE-] '*T*-174'
0.0004 [-NONE-] '*T*-192'
0.0004 [-NONE-] '*-150'
0.0004 [-NONE-] '*-121'
0.0004 [-NONE-] '*-162'
0.0004 [-NONE-] '*T*-166'
0.0004 [-NONE-] '*T*-258'
0.0004 [-NONE-] '*T*-255'
0.0004 [-NONE-] '*T*-144'
0.0004 [-NONE-] '*T*-168'
0.0004 [-NONE-] '*-151'
0.0004 [-NONE-] '*T*-222'
0.0004 [-NONE-] '*T*-259'
0.0004 [-NONE-] '*T*-82'
0.0004 [-NONE-] '*T*-213'
0.0004 [-NONE-] '*-120'
0.0004 [-NONE-] '*-105'
0.0004 [-NONE-] '*-138'
0.0004 [-NONE-] '*-130'
0.0004 [-NONE-] '*PPA*-1'
0.0004 [-NONE-] '*T*-117'
0.0004 [-NONE-] '*T*-188'
0.0004 [-NONE-] '*T*-127'
0.0004 [-NONE-] '*-101'
0.0004 [-NONE-] '*T*-121'
0.0004 [-NONE-] '*-115'
0.0004 [-NONE-] '*T*-181'
0.0004 [-NONE-] '*T*-96'
0.0004 [-NONE-] '*T*-164'
0.0004 [-NONE-] '*T*-89'
0.0004 [-NONE-] '*-153'
0.0004 [-NONE-] '*-165'
0.0004 [-NONE-] '*-58'
0.0004 [-NONE-] '*T*-131'
0.0004 [-NONE-] '*-114'
0.0004 [-NONE-] '*T*-132'
0.0004 [-NONE-] '*-161'
0.0004 [-NONE-] '*T*-240'
0.0004 [-NONE-] '*T*-139'
0.0004 [-NONE-] '*-141'
0.0004 [-NONE-] '*T*-146'
0.0004 [-NONE-] '*T*-158'
0.0004 [-NONE-] '*-127'
0.0004 [-NONE-] '*T*-224'
0.0004 [-NONE-] '*T*-93'
0.0004 [-NONE-] '*-149'
0.0004 [-NONE-] '*T*-208'
0.0004 [-NONE-] '*-123'
0.0004 [-NONE-] '*-92'
0.0004 [-NONE-] '*-126'
0.0004 [-NONE-] '*T*-184'
0.0004 [-NONE-] '*T*-211'
0.0004 [-NONE-] '*T*-104'
0.0004 [-NONE-] '*-145'
0.0004 [-NONE-] '*T*-154'
0.0004 [-NONE-] '*T*-182'
0.0004 [-NONE-] '*T*-185'
0.0004 [-NONE-] '*-147'
0.0004 [-NONE-] '*T*-178'
0.0004 [-NONE-] '*T*-129'
0.0004 [-NONE-] '*-155'
0.0004 [-NONE-] '*T*-155'
0.0004 [-NONE-] '*T*-239'
0.0004 [-NONE-] '*T*-205'
0.0004 [-NONE-] '*-142'
0.0004 [-NONE-] '*T*-198'
0.0004 [-NONE-] '*T*-123'
0.0004 [-NONE-] '*-157'
0.0004 [-NONE-] '*T*-226'
0.0004 [-NONE-] '*-136'
0.0004 [-NONE-] '*T*-223'
0.0004 [-NONE-] '*-139'
0.0004 [-NONE-] '*-131'
0.0004 [-NONE-] '*T*-244'
0.0004 [-NONE-] '*T*-237'
0.0004 [-NONE-] '*T*-215'
0.0004 [-NONE-] '*T*-260'
0.0004 [-NONE-] '*-134'
0.0004 [-NONE-] '*T*-207'
0.0004 [-NONE-] '*T*-221'
0.0004 [-NONE-] '*-30'
0.0004 [-NONE-] '*T*-194'
0.0004 [-NONE-] '*-164'
0.0004 [-NONE-] '*T*-177'
0.0004 [-NONE-] '*T*-189'
0.0004 [-NONE-] '*T*-179'
0.0004 [-NONE-] '*T*-218'
0.0004 [-NONE-] '*T*-201'
0.0004 [-NONE-] '*T*-147'
0.0004 [-NONE-] '*T*-148'
0.0004 [-NONE-] '*T*-233'
0.0004 [-NONE-] '*T*-247'
0.0004 [-NONE-] '*-109'
0.0004 [-NONE-] '*T*-108'
0.0004 [-NONE-] '*T*-214'
0.0004 [-NONE-] '*T*-249'
0.0004 [-NONE-] '*T*-250'
0.0004 [-NONE-] '*T*-141'
0.0004 [-NONE-] '*-154'
0.0004 [-NONE-] '*-111'
0.0004 [-NONE-] '*T*-216'
0.0004 [-NONE-] '*T*-114'
0.0004 [-NONE-] '*T*-190'
0.0004 [-NONE-] '*T*-245'
0.0004 [-NONE-] '*T*-138'
0.0004 [-NONE-] '*T*-254'
0.0004 [-NONE-] '*T*-83'
0.0004 [-NONE-] '*T*-88'
0.0004 [-NONE-] '*-129'
0.0004 [-NONE-] '*T*-137'
0.0004 [-NONE-] '*-140'
0.0002 [-NONE-] '<unk>'
0.8454 [-RRB-] '-RRB-'
0.1443 [-RRB-] '-RCB-'
0.0103 [-RRB-] '<unk>'
0.9846 [.] '.'
0.0131 [.] '?'
0.002 [.] '!'
0.0003 [.] '<unk>'
0.4098 [:] '--'
0.3135 [:] ';'
0.2295 [:] ':'
0.0348 [:] '...'
0.0102 [:] '-'
0.002 [:] '<unk>'
1.0 [ADJP-1] "[RB] [JJ] [PP]"
1.0 [ADJP-2] "[JJ] [PP]"
1.0 [ADJP-ADV] "[JJ] [PP]"
1.0 [ADJP-CLR] "[JJ] [SBAR]"
1.0 [ADJP-PRD-3] "[RB] [JJ] [S]"
0.3186 [ADJP-PRD] [JJ]
0.1181 [ADJP-PRD] "[JJ] [PP]"
0.0907 [ADJP-PRD] "[JJ] [S]"
0.0612 [ADJP-PRD] "[RB] [JJ]"
0.038 [ADJP-PRD] "[ADJP] [SBAR]"
0.0316 [ADJP-PRD] "[ADJP] [PP]"
0.0211 [ADJP-PRD] "[RB] [JJ] [PP]"
0.019 [ADJP-PRD] "[JJ] [CC] [JJ]"
0.019 [ADJP-PRD] [-NONE-]
0.0169 [ADJP-PRD] "[JJ] [SBAR]"
0.0169 [ADJP-PRD] "[ADJP] [CC] [ADJP]"
0.0148 [ADJP-PRD] [RB]
0.0148 [ADJP-PRD] [JJR]
0.0127 [ADJP-PRD] [VBN]
0.0127 [ADJP-PRD] "[RB] [VBN]"
0.0127 [ADJP-PRD] "[VBN] [PP]"
0.0105 [ADJP-PRD] "[ADVP] [JJ]"
0.0105 [ADJP-PRD] "[RBR] [JJ]"
0.0063 [ADJP-PRD] "[RBR] [JJ] [PP]"
0.0063 [ADJP-PRD] "[RB] [JJ] [S]"
0.0063 [ADJP-PRD] "[ADJP] [,] [ADJP]"
0.0063 [ADJP-PRD] "[ADJP] [S]"
0.0063 [ADJP-PRD] "[RBR] [JJ] [S]"
0.0042 [ADJP-PRD] "[JJ] [RB] [S]"
0.0042 [ADJP-PRD] "[RB] [VBN] [PP]"
0.0042 [ADJP-PRD] "[NP-ADV] [JJ]"
0.0042 [ADJP-PRD] "[VBN] [SBAR]"
0.0042 [ADJP-PRD] "[JJ] [NP]"
0.0042 [ADJP-PRD] "[RBS] [JJ]"
0.0042 [ADJP-PRD] "[RB] [RBR] [JJ]"
0.0042 [ADJP-PRD] "[JJ] [PP-LOC]"
0.0042 [ADJP-PRD] "[RB] [JJR]"
0.0042 [ADJP-PRD] [VBG]
0.0042 [ADJP-PRD] "[RB] [VBN] [S]"
0.0042 [ADJP-PRD] "[RB] [S-CLR]"
0.0021 [ADJP-PRD] "[RB] [JJ] [SBAR]"
0.0021 [ADJP-PRD] "[JJR] [PP]"
0.0021 [ADJP-PRD] "[JJR] [IN]"
0.0021 [ADJP-PRD] "[RB] [SBAR]"
0.0021 [ADJP-PRD] "[JJ] [PP-DIR]"
0.0021 [ADJP-PRD] "[JJR] [CC] [JJR] [SBAR]"
0.0021 [ADJP-PRD] "[IN] [S-NOM]"
0.0021 [ADJP-PRD] "[RBR] [VBN]"
0.0021 [ADJP-PRD] "[RB] [RB]"
0.0021 [ADJP-PRD] [VB]
0.0021 [ADJP-PRD] "[ADJP] [CC] [ADJP] [SBAR-2]"
0.0021 [ADJP-PRD] "[``] [RB] [VBN] ['']"
0.0021 [ADJP-PRD] "[JJ] [PP-TMP]"
0.0021 [ADJP-PRD] "[JJ] [RBR]"
0.0021 [ADJP-PRD] [VBD]
0.0021 [ADJP-PRD] "[RB] [VBG] [PP]"
0.0021 [ADJP-PRD] "[ADVP] [IN] [JJ] [PP]"
0.0021 [ADJP-PRD] [JJS]
0.0021 [ADJP-PRD] "[``] [VBN] [''] [PP-CLR]"
0.0021 [ADJP-PRD] "[JJ] [NP-TMP] [PP]"
0.0021 [ADJP-PRD] "[``] [JJ] ['']"
0.0021 [ADJP-PRD] "[JJ] [NP-TMP]"
0.0021 [ADJP-PRD] "[NP-ADV] [RB] [PP-DIR]"
0.0021 [ADJP-PRD] "[JJ] [PP] [``] [PP]"
0.0021 [ADJP-PRD] "[VBN] [NP] [PP]"
0.0021 [ADJP-PRD] "[ADJP] [CC] [RB] [ADJP]"
0.0021 [ADJP-PRD] "[JJ] [CC] [JJ] [PP]"
0.0021 [ADJP-PRD] [NN]
0.0021 [ADJP-PRD] "[RB] [JJ] [CC] [JJ]"
0.0021 [ADJP-PRD] "[RB] [JJ] [PP-LOC]"
0.0021 [ADJP-PRD] "[RBR] [JJ] [SBAR]"
0.0021 [ADJP-PRD] "[JJ] [,] [RB] [JJ]"
0.0021 [ADJP-PRD] [UH]
0.0021 [ADJP-PRD] "[QP] [JJR]"
0.0021 [ADJP-PRD] "[JJR] [SBAR]"
0.0021 [ADJP-PRD] "[IN] [NP]"
0.0021 [ADJP-PRD] "[NP-ADV] [JJR]"
1.0 [ADJP-TMP] "[JJ] [PP]"
1.0 [ADJP-TPC-1] "[RB] [JJ]"
0.1317 [ADJP] "[RB] [JJ]"
0.0878 [ADJP] [JJ]
0.0778 [ADJP] "[QP] [-NONE-]"
0.0659 [ADJP] "[CD] [NN]"
0.0619 [ADJP] "[JJ] [PP]"
0.0579 [ADJP] "[RB] [VBN]"
0.0539 [ADJP] "[$] [CD] [-NONE-]"
0.0379 [ADJP] "[RBR] [JJ]"
0.0339 [ADJP] "[JJ] [NP-TMP]"
0.0339 [ADJP] "[RB] [JJR]"
0.0319 [ADJP] "[JJ] [CC] [JJ]"
0.0299 [ADJP] "[RBS] [JJ]"
0.016 [ADJP] "[NP] [JJ]"
0.016 [ADJP] "[CD] [CD] [NN]"
0.014 [ADJP] [JJR]
0.012 [ADJP] "[ADJP] [PP]"
0.01 [ADJP] "[RB] [JJ] [PP]"
0.01 [ADJP] "[JJ] [JJ]"
0.008 [ADJP] "[JJ] [S]"
0.008 [ADJP] "[RB] [RB]"
0.008 [ADJP] "[QP] [NN]"
0.008 [ADJP] "[ADJP] [CC] [ADJP]"
0.008 [ADJP] "[NNP] [JJ]"
0.006 [ADJP] "[JJR] [JJ]"
0.006 [ADJP] "[JJS] [JJ]"
0.006 [ADJP] [RB]
0.004 [ADJP] "[JJR] [CC] [JJR]"
0.004 [ADJP] "[VBN] [PP]"
0.004 [ADJP] "[ADVP] [JJ]"
0.004 [ADJP] "[RB] [RBR] [JJ]"
0.004 [ADJP] "[NNP] [,] [JJ]"
0.004 [ADJP] [-NONE-]
0.004 [ADJP] "[$] [JJ] [-NONE-]"
0.004 [ADJP] "[JJ] [SBAR]"
0.004 [ADJP] "[ADVP-TMP] [JJ]"
0.004 [ADJP] "[JJ] [PP-LOC]"
0.004 [ADJP] [NN]
0.004 [ADJP] "[RB] [DT]"
0.004 [ADJP] "[RB] [JJ] [CC] [JJ]"
0.004 [ADJP] "[NP-ADV] [JJR]"
0.004 [ADJP] "[JJ] [PP-TMP]"
0.004 [ADJP] [VBN]
0.004 [ADJP] "[RB] [VBG]"
0.004 [ADJP] "[RB] [RB] [JJ]"
0.004 [ADJP] "[ADVP] [VBN]"
0.002 [ADJP] "[JJR] [PP]"
0.002 [ADJP] "[ADVP-TMP] [RB] [JJ]"
0.002 [ADJP] [DT]
0.002 [ADJP] "[ADJP] [,] [CC] [ADJP]"
0.002 [ADJP] "[DT] [ADJP] [CC] [ADJP]"
0.002 [ADJP] "[NNS] [CC] [NNS]"
0.002 [ADJP] "[JJ] [CD] [NN]"
0.002 [ADJP] "[VBN] [PP-CLR]"
0.002 [ADJP] "[NNS] [PRN] [VBN]"
0.002 [ADJP] "[RBS] [RB] [JJ]"
0.002 [ADJP] "[VB] [JJR]"
0.002 [ADJP] "[RB] [JJR] [IN]"
0.002 [ADJP] "[RB] [RB] [S]"
0.002 [ADJP] "[NNP] [NNP]"
0.002 [ADJP] "[JJR] [VBN]"
0.002 [ADJP] "[RB] [VBN] [PRT] [PP]"
0.002 [ADJP] "[RBS] [VBN]"
0.002 [ADJP] "[RB] [JJ] [PP-LOC]"
0.002 [ADJP] "[JJ] [CC] [NNP]"
0.002 [ADJP] "[NN] [JJ]"
0.002 [ADJP] "[RB] [RB] [PP] [S]"
0.002 [ADJP] "[NN] [RB] [SBAR]"
0.002 [ADJP] "[JJ] [CC] [VBG]"
0.002 [ADJP] "[ADVP-TMP] [VBN]"
0.002 [ADJP] "[NP-ADV] [JJ]"
0.002 [ADJP] "[ADVP] [RB] [JJR]"
0.002 [ADJP] "[JJ] [,] [CC] [JJ]"
0.002 [ADJP] "[QP] [JJR]"
0.002 [ADJP] "[VBG] [CC] [VBG]"
0.002 [ADJP] "[JJ] [PRN]"
0.002 [ADJP] "[JJS] [JJ] [S]"
0.002 [ADJP] "[JJ] [RB]"
0.002 [ADJP] "[RBR] [JJ] [PP]"
0.002 [ADJP] "[ADVP] [JJ] [PP]"
0.002 [ADJP] "[QP] [RB] [JJ]"
0.002 [ADJP] "[JJ] [JJS]"
0.002 [ADJP] "[JJ] [RB] [SBAR]"
0.002 [ADJP] "[RB] [RB] [JJ] [PP]"
0.002 [ADJP] "[NN] [NN]"
0.002 [ADJP] "[JJ] [JJR]"
0.002 [ADJP] "[CD] [NNS]"
0.002 [ADJP] "[$] [CD] [JJ]"
0.5806 [ADVP-CLR] [RB]
0.0968 [ADVP-CLR] [-NONE-]
0.0645 [ADVP-CLR] "[RB] [NP] [PP]"
0.0645 [ADVP-CLR] "[IN] [PP]"
0.0645 [ADVP-CLR] "[RB] [PP]"
0.0323 [ADVP-CLR] "[RB] [JJR]"
0.0323 [ADVP-CLR] "[RB] [JJ]"
0.0323 [ADVP-CLR] [JJR]
0.0323 [ADVP-CLR] "[RB] [NP]"
1.0 [ADVP-DIR-CLR] [IN]
1.0 [ADVP-DIR-TPC-4] [RB]
0.4792 [ADVP-DIR] [RB]
0.1667 [ADVP-DIR] [IN]
0.0625 [ADVP-DIR] [RP]
0.0625 [ADVP-DIR] [-NONE-]
0.0417 [ADVP-DIR] [RBR]
0.0417 [ADVP-DIR] "[RB] [PP]"
0.0208 [ADVP-DIR] "[RB] [IN]"
0.0208 [ADVP-DIR] "[RBR] [PP]"
0.0208 [ADVP-DIR] "[RB] [CC] [RB]"
0.0208 [ADVP-DIR] "[JJR] [PP]"
0.0208 [ADVP-DIR] "[RB] [RB]"
0.0208 [ADVP-DIR] "[RB] [NP]"
0.0208 [ADVP-DIR] "[NN] [NN] [RB]"
1.0 [ADVP-EXT] "[RB] [RB]"
